energy_meV,median,lower,upper
443.0,23.77571138523591,19.67802008133449,27.11725662238573
444.0,23.80167251331579,19.69838829747089,27.147318252411694
445.0,23.827605355726114,19.718735946843392,27.177448182996045
446.0,23.853510004720974,19.739254344499074,27.20743162014309
447.0,23.879386552054033,19.759639057549254,27.237341148977606
448.0,23.905235088982387,19.77995197838142,27.267175569294633
449.0,23.931055706270264,19.80046850852027,27.29695407352835
450.0,23.956848494192766,19.820916687516586,27.32679506562876
451.0,23.98261354253956,19.84107482683279,27.356543428644773
452.0,24.008350940618506,19.861565429093034,27.386187384352343
453.0,24.034060777259285,19.88193206144272,27.415903342386894
454.0,24.059743140816963,19.90227302943766,27.445599889543864
455.0,24.085398119175537,19.922559234191365,27.475300480447434
456.0,24.111025799751456,19.94274389133743,27.505010775584005
457.0,24.13662626949706,19.9630346877223,27.534640817218193
458.0,24.162199614904097,19.983253664647638,27.56415343246493
459.0,24.187745922007025,20.003501349726875,27.59356079934833
460.0,24.213265276386473,20.023637820228704,27.62298447796132
461.0,24.238757763172572,20.04368158011931,27.652488151249134
462.0,24.264223467048236,20.063816579038342,27.682010817528685
463.0,24.28966247225247,20.084022846147725,27.711291286184455
464.0,24.315074862583614,20.10406558059,27.740521619049826
465.0,24.340460721402568,20.124124692640105,27.76976695349248
466.0,24.365820131635974,20.144146637168134,27.799008871967587
467.0,24.39115317577938,20.164102476671605,27.828248611313903
468.0,24.416459935900374,20.18414282493657,27.85758054950607
469.0,24.44174049364169,20.20423325013197,27.88678194321637
470.0,24.466994930224256,20.224275434920248,27.915970434020803
471.0,24.49222332645028,20.244208508200803,27.94509424332391
472.0,24.51742576270623,20.263912978958025,27.974211089856528
473.0,24.542602318965823,20.28395404820039,28.003281327141583
