mass_eV,chi,q_disc,probability
0.0226,5.3e-13,212.361666135447,0.0
0.0226,6.72e-13,212.361666135447,0.0
0.0226,8.53e-13,212.361666135447,0.0
0.0226,1.083e-12,212.361666135447,0.0
0.0226,1.374e-12,212.361666135447,0.0
0.0226,1.743e-12,212.361666135447,0.0
0.0226,2.212e-12,212.361666135447,0.0
0.0226,2.807e-12,212.361666135447,0.0
0.0226,3.562e-12,212.361666135447,0.0
0.0226,4.52e-12,212.361666135447,0.011988011988011988
0.0226,5.736e-12,212.361666135447,0.026973026973026972
0.0226,7.279e-12,212.361666135447,0.058941058941058944
0.0226,9.237e-12,212.361666135447,0.16383616383616384
0.0226,1.1721e-11,212.361666135447,0.4485514485514486
0.0226,1.4874e-11,212.361666135447,0.8531468531468531
0.0226,1.8874e-11,212.361666135447,1.0
0.0226,2.395e-11,212.361666135447,1.0
0.0226,3.0392e-11,212.361666135447,1.0
0.0226,3.8566e-11,212.361666135447,1.0
0.0226,4.8939e-11,212.361666135447,1.0
0.0226,6.2102e-11,212.361666135447,1.0
0.0226,7.8805e-11,212.361666135447,1.0
0.0226,1e-10,212.361666135447,1.0
0.0234,1e-13,238.43793553737945,0.0
0.0234,1.27e-13,238.43793553737945,0.0
0.0234,1.61e-13,238.43793553737945,0.0
0.0234,2.04e-13,238.43793553737945,0.0
0.0234,2.59e-13,238.43793553737945,0.0
0.0234,3.29e-13,238.43793553737945,0.0
0.0234,4.17e-13,238.43793553737945,0.0
0.0234,5.3e-13,238.43793553737945,0.0
0.0234,6.72e-13,238.43793553737945,0.0
0.0234,8.53e-13,238.43793553737945,0.0
0.0234,1.083e-12,238.43793553737945,0.0
0.0234,1.374e-12,238.43793553737945,0.0
0.0234,1.743e-12,238.43793553737945,0.0
0.0234,2.212e-12,238.43793553737945,0.0
0.0234,2.807e-12,238.43793553737945,0.0
0.0234,3.562e-12,238.43793553737945,0.0
0.0234,4.52e-12,238.43793553737945,0.0
0.0234,5.736e-12,238.43793553737945,0.0
0.0234,7.279e-12,238.43793553737945,0.03396603396603397
0.0234,9.237e-12,238.43793553737945,0.11188811188811189
0.0234,1.1721e-11,238.43793553737945,0.3966033966033966
0.0234,1.4874e-11,238.43793553737945,0.8911088911088911
0.0234,1.8874e-11,238.43793553737945,1.0
0.0234,2.395e-11,238.43793553737945,1.0
0.0234,3.0392e-11,238.43793553737945,1.0
0.0234,3.8566e-11,238.43793553737945,1.0
0.0234,4.8939e-11,238.43793553737945,1.0
0.0234,6.2102e-11,238.43793553737945,1.0
0.0234,7.8805e-11,238.43793553737945,1.0
0.0234,1e-10,238.43793553737945,1.0
0.0243,1e-13,167.66290474724173,0.0
0.0243,1.27e-13,167.66290474724173,0.0
0.0243,1.61e-13,167.66290474724173,0.0
0.0243,2.04e-13,167.66290474724173,0.0
0.0243,2.59e-13,167.66290474724173,0.0
0.0243,3.29e-13,167.66290474724173,0.0
0.0243,4.17e-13,167.66290474724173,0.0
0.0243,5.3e-13,167.66290474724173,0.0
0.0243,6.72e-13,167.66290474724173,0.0
0.0243,8.53e-13,167.66290474724173,0.0
0.0243,1.083e-12,167.66290474724173,0.0
0.0243,1.374e-12,167.66290474724173,0.0
0.0243,1.743e-12,167.66290474724173,0.0
0.0243,2.212e-12,167.66290474724173,0.0
0.0243,2.807e-12,167.66290474724173,0.0
0.0243,3.562e-12,167.66290474724173,0.0
0.0243,4.52e-12,167.66290474724173,0.0
0.0243,5.736e-12,167.66290474724173,0.023976023976023976
0.0243,7.279e-12,167.66290474724173,0.07392607392607392
0.0243,9.237e-12,167.66290474724173,0.25074925074925075
0.0243,1.1721e-11,167.66290474724173,0.6543456543456544
0.0243,1.4874e-11,167.66290474724173,0.968031968031968
0.0243,1.8874e-11,167.66290474724173,1.0
0.0243,2.395e-11,167.66290474724173,1.0
0.0243,3.0392e-11,167.66290474724173,1.0
0.0243,3.8566e-11,167.66290474724173,1.0
0.0243,4.8939e-11,167.66290474724173,1.0
0.0243,6.2102e-11,167.66290474724173,1.0
0.0243,7.8805e-11,167.66290474724173,1.0
0.0243,1e-10,167.66290474724173,1.0
0.0252,1e-13,147.6292825753374,0.0
0.0252,1.27e-13,147.6292825753374,0.0
0.0252,1.61e-13,147.6292825753374,0.0
0.0252,2.04e-13,147.6292825753374,0.0
0.0252,2.59e-13,147.6292825753374,0.0
0.0252,3.29e-13,147.6292825753374,0.0
0.0252,4.17e-13,147.6292825753374,0.0
0.0252,5.3e-13,147.6292825753374,0.0
0.0252,6.72e-13,147.6292825753374,0.0
0.0252,8.53e-13,147.6292825753374,0.0
0.0252,1.083e-12,147.6292825753374,0.0
0.0252,1.374e-12,147.6292825753374,0.0
0.0252,1.743e-12,147.6292825753374,0.0
0.0252,2.212e-12,147.6292825753374,0.0
0.0252,2.807e-12,147.6292825753374,0.0
0.0252,3.562e-12,147.6292825753374,0.0
0.0252,4.52e-12,147.6292825753374,0.0
0.0252,5.736e-12,147.6292825753374,0.022977022977022976
0.0252,7.279e-12,147.6292825753374,0.0969030969030969
0.0252,9.237e-12,147.6292825753374,0.32167832167832167
0.0252,1.1721e-11,147.6292825753374,0.7822177822177823
0.0252,1.4874e-11,147.6292825753374,0.989010989010989
