m_test,lower_2sigma,lower_1sigma,median,upper_1sigma,upper_2sigma,limit
5.470000000000000556e-02,2.140702940018307639e-13,8.109220960482491748e-13,1.792200156958260542e-12,2.362941808953089784e-12,2.812662140177584324e-12,1.717367663451397903e-12
5.579999999999999544e-02,2.719959756755359002e-13,8.446832823383157031e-13,1.827103900186301420e-12,2.509276859942229706e-12,3.141544549298955305e-12,1.837215734720347282e-12
5.679999999999999633e-02,3.272235453129522331e-13,9.939709942949468528e-13,1.935946919997110971e-12,2.607966742991775657e-12,3.345573622436442804e-12,1.952213644104626729e-12
5.890000000000000097e-02,4.313418063242340482e-13,9.700786435821458151e-13,1.983284417406581069e-12,2.746541479230757587e-12,3.379664544339750048e-12,2.145571386438006831e-12
6.110000000000000153e-02,4.830671280384141612e-13,1.450108045373428032e-12,2.311695743661506317e-12,3.199680220212353015e-12,3.822498014488297414e-12,2.522641109156649942e-12
6.339999999999999802e-02,7.458413665284054891e-13,1.406451069558859189e-12,2.802576080493971379e-12,3.668877666678678839e-12,4.389423543417251167e-12,3.026613962513217149e-12
6.579999999999999738e-02,9.461467485770628514e-13,1.985368007682909376e-12,3.129440194968194657e-12,4.251302125694849773e-12,5.174240578484302341e-12,3.534596505483648370e-12
6.829999999999999960e-02,1.209464065820414354e-12,2.082630738525939436e-12,3.529141562132926626e-12,4.899869834882911320e-12,5.867493529977228633e-12,4.235516453032169154e-12
7.090000000000000469e-02,1.628849518598259004e-12,2.726634871730053309e-12,4.700656242571753049e-12,6.175485860846545531e-12,7.297498802164245845e-12,5.641478403680728144e-12
7.349999999999999589e-02,2.231146347756042522e-12,3.391704786554116662e-12,5.022568147534076262e-12,7.002995191531713037e-12,8.358384441464822797e-12,6.564405037091556004e-12
7.510000000000000009e-02,3.260081621156124114e-12,4.801714999770089231e-12,6.808904389047426225e-12,9.171937043553205637e-12,1.113081231806335147e-11,8.887253689785106869e-12
